PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is in sitemap,Referenced in sitemaps,No. of all inlinks,recomendacao_ivoire,categoria_ivoire,severidade_ivoire
0,https://aviva.com.br/assets/c207e58d-5fd5-4d4b-94aa-2a8cbb53dd68,,,false,0,0,true,https://aviva.com.br/sitemap.xml,0,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/day-pass-cs,,,false,0,0,true,https://aviva.com.br/sitemap.xml,1,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/bar-makai,,,false,0,0,true,https://aviva.com.br/sitemap.xml,0,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/quermesse-da-praca,,,false,0,0,true,https://aviva.com.br/sitemap.xml,0,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/ponte-do-mergulho,,,false,0,0,true,https://aviva.com.br/sitemap.xml,1,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/arena-sauipe,,,false,0,0,true,https://aviva.com.br/sitemap.xml,0,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/praia-da-marina,,,false,0,0,true,https://aviva.com.br/sitemap.xml,0,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/turminha-da-zooeira,,,false,0,0,true,https://aviva.com.br/sitemap.xml,0,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/petiscos-e-bebidas,,,false,0,0,true,https://aviva.com.br/sitemap.xml,0,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/trilha-da-reserva-de-sapiranga,,,false,0,0,true,https://aviva.com.br/sitemap.xml,0,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/assets/0b4293d1-d892-4a16-8fe7-503427cd1c9f,,,false,0,0,true,https://aviva.com.br/sitemap.xml,0,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/mergulho-nas-piscinas-naturais,,,false,0,0,true,https://aviva.com.br/sitemap.xml,0,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/flor-do-cerrado,,,false,0,0,true,https://aviva.com.br/sitemap.xml,0,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/aulas-de-surf,,,false,0,0,true,https://aviva.com.br/sitemap.xml,0,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/restaurante-marae,,,false,0,0,true,https://aviva.com.br/sitemap.xml,1,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/mac,,,false,0,0,true,https://aviva.com.br/sitemap.xml,1,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/bar-mahalo,,,false,0,0,true,https://aviva.com.br/sitemap.xml,0,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/cafeteria,,,false,0,0,true,https://aviva.com.br/sitemap.xml,0,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/city-tour,,,false,0,0,true,https://aviva.com.br/sitemap.xml,0,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/restaurante-pequi,,,false,0,0,true,https://aviva.com.br/sitemap.xml,5,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/quadras-esportivas-quadras-de-tenis,,,false,0,0,true,https://aviva.com.br/sitemap.xml,0,1) Tratar como timeout regular (ver acima).,Performance,Alta
0,https://aviva.com.br/experiencias/capela-parque-das-fontes,,,false,0,0,true,https://aviva.com.br/sitemap.xml,0,1) Tratar como timeout regular (ver acima).,Performance,Alta

Total: 22 URLs | Issue: Page from sitemap timed out | Fonte: /ahrefs-reports/aviva_all-issues/Error-Page_from_sitemap_timed_out.csv | Filtro aplicado: aviva.com.br | Gerado: 2026-04-23
