PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect URL,Redirect URL code,No. of all inlinks,No. of redirect inlinks,First found at,recomendacao_ivoire,categoria_ivoire,severidade_ivoire
0,http://aviva.com.br/rio-quente/programacao-diaria-rio-quente,,text/html,false,301,0,https://aviva.com.br/rio-quente/programacao-diaria-rio-quente,404,1,0,https://aviva.com.br/rio-quente/programacao-diaria,1) Abrir anexo e localizar coluna 'Redirect URL' para entender destino atual.,Quebra,Alta
0,http://www.aviva.com.br/eventos/corporativos/costa-do-sauipe,,text/html,false,301,0,https://www.aviva.com.br/eventos/corporativos/costa-do-sauipe,404,1,0,https://www.aviva.com.br/faca-seu-evento/costa-do-sauipe,1) Abrir anexo e localizar coluna 'Redirect URL' para entender destino atual.,Quebra,Alta
0,http://www.aviva.com.br/rio-quente/programacao-diaria-rio-quente,,text/html,false,301,0,https://www.aviva.com.br/rio-quente/programacao-diaria-rio-quente,404,1,0,https://www.aviva.com.br/rio-quente/programacao-diaria,1) Abrir anexo e localizar coluna 'Redirect URL' para entender destino atual.,Quebra,Alta
0,http://www.aviva.com.br/eventos/casamentos/costa-do-sauipe,,text/html,false,301,0,https://www.aviva.com.br/eventos/casamentos/costa-do-sauipe,404,2,0,https://www.aviva.com.br/faca-seu-evento/casamentos-costa-do-sauipe,1) Abrir anexo e localizar coluna 'Redirect URL' para entender destino atual.,Quebra,Alta
0,http://aviva.com.br/eventos/corporativos/rio-quente,,text/html,false,301,0,https://aviva.com.br/eventos/corporativos/rio-quente,404,1,0,https://aviva.com.br/faca-seu-evento/rio-quente,1) Abrir anexo e localizar coluna 'Redirect URL' para entender destino atual.,Quebra,Alta
0,http://www.aviva.com.br/experiencia/la-villa,,text/html,false,301,0,https://www.aviva.com.br/experiencia/la-villa,404,1,0,https://www.aviva.com.br/experiencias/la-villa,1) Abrir anexo e localizar coluna 'Redirect URL' para entender destino atual.,Quebra,Alta
0,http://www.aviva.com.br/eventos/corporativos/rio-quente,,text/html,false,301,0,https://www.aviva.com.br/eventos/corporativos/rio-quente,404,1,0,https://www.aviva.com.br/faca-seu-evento/rio-quente,1) Abrir anexo e localizar coluna 'Redirect URL' para entender destino atual.,Quebra,Alta
0,http://aviva.com.br/eventos/casamentos/costa-do-sauipe,,text/html,false,301,0,https://aviva.com.br/eventos/casamentos/costa-do-sauipe,404,1,0,https://aviva.com.br/faca-seu-evento/casamentos-costa-do-sauipe,1) Abrir anexo e localizar coluna 'Redirect URL' para entender destino atual.,Quebra,Alta
0,http://aviva.com.br/experiencia/la-villa,,text/html,false,301,0,https://aviva.com.br/experiencia/la-villa,404,1,0,https://aviva.com.br/experiencias/la-villa,1) Abrir anexo e localizar coluna 'Redirect URL' para entender destino atual.,Quebra,Alta
0,http://www.aviva.com.br/eventos/natal-rio-quente,,text/html,false,301,0,https://www.aviva.com.br/eventos/natal-rio-quente,404,2,0,https://www.aviva.com.br/agenda/natal-rio-quente,1) Abrir anexo e localizar coluna 'Redirect URL' para entender destino atual.,Quebra,Alta
0,http://www.aviva.com.br/institucional/aviva,,text/html,false,301,0,https://www.aviva.com.br/institucional/aviva,404,1,0,https://www.aviva.com.br/conheca-a-aviva,1) Abrir anexo e localizar coluna 'Redirect URL' para entender destino atual.,Quebra,Alta
0,http://aviva.com.br/eventos/corporativos/costa-do-sauipe,,text/html,false,301,0,https://aviva.com.br/eventos/corporativos/costa-do-sauipe,404,1,0,https://aviva.com.br/faca-seu-evento/costa-do-sauipe,1) Abrir anexo e localizar coluna 'Redirect URL' para entender destino atual.,Quebra,Alta

Total: 12 URLs | Issue: Broken redirect | Fonte: /ahrefs-reports/aviva_all-issues/Error-Broken_redirect.csv | Filtro aplicado: aviva.com.br | Gerado: 2026-04-22
